currentValue,index,name,period,previousValue
8.23%,0,Tăng trưởng GDP  (YoY),Quý 3/2025,8.19%
102.76,1,GDP bình quân  (triệu/người),Năm 2023,96.94
3.58%,2,Tăng trưởng CPI  (YoY),Tháng 11/2025,3.25%
3.29%,3,Tỷ lệ lạm phát  (Average CPI YoY),Tháng 11/2025,3.27%
10.76%,4,IIP  (YoY),Tháng 11/2025,10.44%
53.8,5,PMI,Tháng 11/2025,54.5
7.15%,6,Bán lẻ HH&DV  (YoY),Tháng 11/2025,7.23%
13.31%,7,Vốn đầu tư phát triển XH  (YoY),Quý 3/2025,11.5%
23.32%,8,Vốn đầu tư NSNN  (YoY),Tháng 11/2025,32.16%
-47.32%,9,FDI đăng ký  (YoY),Tháng 11/2025,20.36%
9.52%,10,FDI thực hiện  (YoY),Tháng 11/2025,11.36%
14.92%,11,Xuất khẩu  (YoY),Tháng 11/2025,17.32%
15.93%,12,Nhập khẩu  (YoY),Tháng 11/2025,16.14%
"1,128.77",13,Cán cân thương mại  (Triệu USD),Tháng 11/2025,"2,613.3"
"1,700",14,Cán cân thanh toán  (Triệu USD),Quý 3/2025,"1,488"
22.43%,15,Vận chuyển hành khách  (YoY),Tháng 11/2025,24.46%
14.16%,16,Vận chuyển hàng hoá  (YoY),Tháng 11/2025,12.31%
15.58%,17,Khách quốc tế  (YoY),Tháng 11/2025,22.05%
"101,343.8",18,Tổng dân số  (Nghìn người),Năm 2024,"100,308.32"
2.22%,19,Tỷ lệ thất nghiệp,Quý 3/2025,2.24%
"53,348.49",20,Lực lượng lao động,Quý 3/2025,"53,094"
33.13%,21,Thu ngân sách  (YoY),Quý 3/2025,27%
15.6%,22,Chi ngân sách  (YoY),Quý 3/2025,64.33%
6.65%,23,Nợ chính phủ  (YoY),Năm 2024,5.53%
31.78%,24,Nợ chính phủ/GDP,Năm 2023,34.39%
